id,pais,lider,ano_chegada_poder,nascimento,idade_chegada,anos_partido_chegada,sistema,regiao,mecanismo_chegada,ultimo_cargo_anterior,tinha_carteira_seguranca,tinha_carteira_militar,tinha_carteira_economica,estava_no_partido_lideranca,era_vp_antes,anos_poder,nota
dos_santos_angola_1979,Angola,José Eduardo dos Santos,1979,1942,37,18,Partido Único Dominante,África Subsaariana,Herança (morte do antecessor Agostinho Neto),1.º Vice-Presidente da República,False,False,False,True,True,38,Não chegou por eleição. Era VP e assumiu após morte de Neto. Estudou na URSS (petróleo).
lourenco_angola_2017,Angola,João Lourenço,2017,1954,63,43,Partido Dominante,África Subsaariana,Eleição via MPLA (cabeça de lista),Ministro da Defesa Nacional,True,True,False,True,False,,Sec. Geral MPLA + Ministro Defesa. Padrão de referência para Angola.
xi_china_2012,China,Xi Jinping,2012,1953,59,38,Partido Único,Ásia Oriental,Ascensão interna PCC / Congresso Nacional,Vice-Presidente da RPC + Vice-Presidente Comissão Militar Central,False,True,False,True,True,,"Trajectória provincial (Gov. Fujian, Zhejiang) → Politburo Standing Committee → VP → Sec. Geral."
putin_russia_1999,Rússia,Vladimir Putin,1999,1952,47,24,Partido Dominante (híbrido),Europa Oriental / Ásia Central,Nomeação por Yeltsin como PM → Presidente interino,Director do FSB → Primeiro-Ministro,True,True,False,False,False,,KGB/FSB (24 anos) + proximidade total ao predecessor. Velocidade final: Director FSB → PR em 2 anos.
erdogan_turquia_2003,Turquia,Recep Tayyip Erdoğan,2003,1954,49,9,Democracia eleitoral (erosão gradual),Europa / Médio Oriente,Vitória eleitoral AKP (partido fundado por ele em 2001),Presidente de Câmara de Istambul,False,False,False,True,False,,Perfil único: criou o próprio partido. Base eleitoral popular + capital religioso-conservador.
nyusi_mocambique_2015,Moçambique,Filipe Nyusi,2015,1959,56,7,Partido Dominante,África Subsaariana,Eleição via Frelimo (cabeça de lista),Ministro da Defesa Nacional (2008–2014),True,True,False,True,False,,Caso mais próximo de Angola: Engenheiro → Director CFM → Min. Defesa → Presidente via Frelimo.
mnangagwa_zimbabue_2017,Zimbabué,Emmerson Mnangagwa,2017,1942,75,37,Partido Dominante,África Subsaariana,Golpe suave apoiado pelos militares (Zimbabwe Defence Forces),Vice-Presidente da República,True,True,False,True,True,,Ministro Segurança do Estado décadas + rede militares. Chegada atípica via golpe mas com suporte ZANU-PF.
kagame_ruanda_2000,Ruanda,Paul Kagame,2000,1957,43,10,Partido Dominante,África Subsaariana,VP → Presidente (dimissão de Bizimungu),Vice-Presidente + Ministro da Defesa,True,True,False,True,True,,Chefe militar FPR durante genocídio → VP/Defesa → Presidente. Capital militar como base principal.
to_lam_vietname_2024,Vietname,Tô Lâm,2024,1957,67,40,Partido Único,Ásia Oriental,Eleição interna PCV / Comité Central,Ministro da Segurança Pública (2016–2024),True,False,False,True,False,,Caso mais recente (2024). Interior/Segurança 16 anos → Sec. Geral PCV. Análogo directo ao padrão Angola.
ramaphosa_sa_2018,África do Sul,Cyril Ramaphosa,2018,1952,66,35,Pluripartidário,África Subsaariana,Eleição interna ANC → Presidente após demissão de Zuma,Vice-Presidente da República,False,False,True,True,True,,Único caso onde capital económico supera segurança. Sistema pluripartidário com primárias ANC.
maduro_venezuela_2013,Venezuela,Nicolás Maduro,2013,1962,51,20,Autoritarismo eleitoral,América Latina,VP → Presidente interino → eleito (herança de Chávez),Vice-Presidente Executivo + Min. Relações Exteriores,False,False,False,True,True,,Motorista/sindicalista → diplomacia → VP → herança directa. Lealdade ao líder como variável dominante.
tokayev_cazaquistao_2019,Cazaquistão,Kassym-Jomart Tokayev,2019,1953,66,32,Autoritarismo eleitoral,Ásia Central,Designação pelo antecessor Nazarbayev,Presidente do Senado,False,False,False,True,False,,Diplomata sénior → PM → Senado → escolhido por Nazarbayev. Designação directa pelo predecessor.
