id,label,weight,scale,description,source
cargo,Peso do Cargo Actual,0.1,1–10,Importância institucional do cargo actual. 10=PR/VP partido; 9=Min. Estado/Interior/Presidente AN; 7=Ministro pasta económica chave; 5=Ex-ministro/Gov. provincial; 3=Cargo técnico/académico,Cargos verificados via governo.gov.ao e MPLA.ao
partido,Antiguidade e Hierarquia no Partido,0.1,1–10,Anos de militância activa + nível hierárquico atingido. 10=30+ anos + Bureau Político fundador; 8=20+ anos + BP; 6=10-20 anos + BP; 4=<10 anos no BP,Biográficos MPLA.ao + Jornal ÉME
seguranca,Carteira de Segurança/Defesa,0.1,1–10,Controlo sobre aparelho coercivo. 10=Chefia FAA + Min. Interior actual; 9=Min. Interior actual ou ex-chefe EM FAA; 5=Sec. Estado segurança; 2=Sem contacto com segurança; 1=Perfil puramente civil,Cargos verificados + padrão comparado (peso calibrado em 8 casos históricos)
proximidade,Proximidade ao Presidente Lourenço,0.1,1–10,Relação de confiança directa com o PR. 10=Casa de Segurança ou VP partido escolhida por JLo; 9=Chefe Casa Civil ou Sec. Geral partido; 6=Ministro de confiança reconduído; 3=Trajectória paralela sem laço directo documentado,Decretos presidenciais + VOA Português + MPLA.ao
burpol,Posição no Bureau Político,0.1,1–10,Hierarquia dentro do Bureau Político (órgão que propõe candidato presidencial via Art.120). 10=VP do MPLA; 9=Sec. Geral MPLA ou membro secretariado; 7=Membro efectivo BP; 5=Membro alternativo/periférico,"Lista BP publicada pelo Jornal ÉME (VIII Congresso, 10 Dez 2021) + actualização Dez 2024"
trajetoria,Trajectória e Velocidade de Promoção,0.1,1–10,Diversidade de pastas + aceleração recente (desde 2017). 10=4+ pastas distintas em <8 anos; 8=3 pastas com progressão clara; 6=2 pastas + cargo estável; 4=1 pasta longa sem progressão recente,CVs biográficos + análise cronológica de cargos
militar,Capital Militar,0.1,1–10,Posto militar + redes nas FAA/FAPLA. 10=Tenente-General + ex-Chefe EM FAA; 8=General + carreira operacional; 5=Formação militar sem carreira activa; 0=Sem passagem pelas FAA,Biográficos militares verificados
academia,Capital Académico,0.1,1–10,Grau académico + relevância da área. 10=Doutoramento em área estratégica (Direito/Economia); 9=Mestrado + publicações + visibilidade académica internacional; 8=Mestrado em área relevante; 6=Licenciatura + formações complementares; 4=Formação técnica/militar,CVs académicos verificados
perfil_int,Perfil Internacional,0.1,1–10,Línguas + formação no estrangeiro + visibilidade externa. 10=Formação exterior + presença regular FMI/BM/ONU + 3+ línguas; 6=Formação parcial exterior + 2 línguas; 3=Formação nacional + inglês funcional,Biográficos + registos IMF Connect / World Bank Live
idade,Factor Etário (faixa óptima 44–62),0.1,1–10,Baseado em padrão dos 12 casos comparados: idade óptima de chegada ao poder = 44-62. 10=44-52 anos; 8=53-58 anos; 7=59-62 anos; 5=63-66 anos; 3=67-70 anos; 1=70+ anos,Calibrado sobre idades dos 12 líderes nos casos comparados
